"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D2","DIOM2616X08N","88.2015mm","23.114mm","88.2015mm","23.114mm","88.2015mm","22.014mm","T","270.00","Diode Schottky 2A 40V"
"D4","DIOM2616X08N","77.1525mm","26.8605mm","77.1525mm","26.8605mm","76.0525mm","26.8605mm","T","180.00","Diode Schottky 2A 40V"
"U3","SOT23-6N","8.4375mm","11.95mm","8.425mm","11.95mm","7.25mm","12.9mm","T","0.00","USBLC6 USB ESD Protection"
"ESP_BREAKOUT","HDR1X3-HEADER","26.44mm","8.871mm","28.98mm","8.871mm","28.98mm","8.871mm","T","180.00","Header 3"
"SD_BREAKOUT","HDR1X6-HEADER","2.032mm","45.72mm","2.032mm","52.07mm","2.032mm","52.07mm","T","270.00","Header 6"
"R7","RESC1005X40N","3.81mm","16.51mm","3.81mm","16.51mm","4.31mm","16.51mm","T","180.00","Res-0402-22R"
"R18","RESC1005X40N","16.462mm","17.78mm","16.462mm","17.78mm","15.962mm","17.78mm","T","360.00","Res-0402-1K"
"R20","RESC1005X40N","18.25mm","20.85mm","18.25mm","20.85mm","18.25mm","21.35mm","T","270.00","Res-0402-1K"
"R19","RESC1005X40N","16.462mm","16.48mm","16.462mm","16.48mm","15.962mm","16.48mm","T","360.00","Res-0402-1K"
"R55","RESC1005X40N","56.1975mm","24.003mm","56.1975mm","24.003mm","56.1975mm","23.503mm","T","90.00","Res-0402-4K7"

